word_id,sent_id,is_primary
europa-n,t2230595,1
europaeer-n,t10613193,1
europaeisch-a,t7532363,1
fahren-v,t135991,1
fahrer-n,t5868835,1
fahrkarte-n,t2272533,1
fahrrad-n,t360750,1
falsch-a,t1245,1
familie-n,t6644263,1
familienname-n,t4224797,1
familienstand-n,t7500266,1
farbe-n,t415185,1
fax-n,t9843633,1
februar-n,t670808,1
fehlen-v,t3870776,1
fehler-n,g-fehler-n,1
feierabend-n,t3292166,1
feiern-v,t11058792,1
feiertag-n,t745895,1
fernsehen-v,t381141,1
fertig-a,t427272,1
feuer-n,t8320819,1
fieber-n,t362168,1
film-n,t1155,1
finden-v,g-finden-v,1
firma-n,t445919,1
fisch-n,t400013,1
flasche-n,t901,1
fleisch-n,t360873,1
fliegen-v,t8320826,1
flughafen-n,t1518944,1
flugzeug-n,t8320826,1
formular-n,t697816,1
foto-n,t596938,1
frage-n,t596871,1
fragen-v,g-fragen-v,1
frau-n,t136445,1
frei-a,t347963,1
freitag-n,t6641379,1
freizeit-n,t454116,1
fremd-a,t927398,1
freuen-v,t601008,1
freund-n,t406765,1
freundin-n,t2976061,1
frueher-a,g-frueher-a,1
fruehjahr-n,t378533,1
fruehling-n,t439593,1
fruehstueck-n,t341423,1
fruehstuecken-v,t507863,1
fuss-n,t351765,1
fussball-n,t594899,1
fuehrung-n,g-fuehrung-n,1
fuenf-o,t750247,1
fuenfzehn-o,t724797,1
fuenfzig-o,t1793968,1
fuer-p,g-fuer-p,1
garten-n,t415187,1
gast-n,t5608912,1
geben-v,t1112946,1
geboren-o,g-geboren-o,1
geburtsjahr-n,g-geburtsjahr-n,1
geburtsort-n,t8888110,1
geburtstag-n,t576332,1
gefallen-v,g-gefallen-v,1
gegen-p,g-gegen-p,1
gehen-v,g-gehen-v,1
gehoeren-v,t555921,1
gelb-a,t362317,1
geld-n,t413902,1
gemuese-n,t568,1
gepaeck-n,t917568,1
gerade-a,t621229,1
geradeaus-a,t2283523,1
gern-a,t3100109,1
gerne-a,t4049420,1
geschenk-n,t8320839,1
geschlossen-o,t3421645,1
geschwister-n,t6151,1
geschaeft-n,t1549783,1
gespraech-n,t3235867,1
gestern-a,t688,1
getraenk-n,t6640998,1
gewicht-n,t1388434,1
gewinnen-v,t1658626,1
glas-n,t765128,1
glauben-v,t368557,1
gleich-a,t701283,1
gleich-a-2,g-gleich-a-2,1
gleis-n,g-gleis-n,1
glueck-n,t413747,1
gluecklich-a,g-gluecklich-a,1
glueckwunsch-n,t404606,1
grad-n,t6126,1
grade-a,t943785,1
gradeaus-a,g-gradeaus-a,1
gramm-n,t13694072,1
gratulieren-v,t2727778,1
grau-a,t657416,1
grillen-v,t8636859,1
gross-a,t1315755,1
grosseltern-n,t2766638,1
grossmutter-n,t452476,1
grossvater-n,t412186,1
gruppe-n,t967286,1
gruss-n,t1530225,1
groesse-n,t2234648,1
gruen-a,t1561663,1
gut-a,g-gut-a,1
gueltig-a,t1560983,1
guenstig-a,t3977858,1
haar-n,g-haar-n,1
haben-v,g-haben-v,1
halb-a,t2711788,1
halbpension-n,t10752338,1
halle-n,g-halle-n,1
hallo-i,t690,1
halten-v,g-halten-v,1
haltestelle-n,t401987,1
hand-n,g-hand-n,1
handy-n,t535431,1
haus-n,t1315755,1
hausaufgabe-n,t3041500,1
hausfrau-n,t5698960,1
hausmann-n,t4878214,1
heimat-n,t2872271,1
heiraten-v,t2411164,1
heissen-v,t7835109,1
helfen-v,t1561664,1
hell-a,t341553,1
herbst-n,t513093,1
herd-n,t592991,1
herr-n,t501842,1
herzlich-a,t10813353,1
heut-a,t8227572,1
heute-a,t2897004,1
hier-a,t467,1
hilfe-n,g-hilfe-n,1
hinten-a,t2187776,1
hobby-n,t1308840,1
hoch-a,t368773,1
hochzeit-n,g-hochzeit-n,1
holen-v,g-holen-v,1
hotel-n,t5647195,1
hund-n,t356568,1
hundert-o,t127531,1
hunger-n,t1690552,1
haehnchen-n,g-haehnchen-n,1
hoeren-v,g-hoeren-v,1
ich-o,t125,1
ihm-o,t632916,1
ihn-o,t349976,1
ihr-o,t3698696,1
ihre-o,t1521483,1
immer-a,t5256726,1
in-p,t467,1
information-n,t562291,1
ins-o,t1507205,1
international-a,g-international-a,1
internet-n,t1086020,1
ja-o,t731,1
jacke-n,t9419268,1
jahr-n,g-jahr-n,1
januar-n,t1550073,1
jede-o,t931149,1
jeder-o,t590698,1
jedes-o,t7334590,1
jetzt-a,t1242104,1
job-n,t3182213,1
jugendliche-n,t966224,1
juli-n,t344696,1
jung-a,t8172198,1
junge-n,t1923789,1
juni-n,t347984,1
kaffee-n,t1599758,1
kaputt-a,t722,1
karte-n,t633647,1
kartoffel-n,t1729451,1
kasse-n,g-kasse-n,1
kaufen-v,t3541463,1
kein-o,t780822,1
kennen-v,t353791,1
kennen-lernen-v,g-kennen-lernen-v,1
kennenlernen-v,t6785998,1
kilo-n,t603971,1
kilogramm-n,t3638656,1
kilometer-n,t3016355,1
kind-n,g-kind-n,1
kindergarten-n,t1458081,1
kino-n,t602960,1
kiosk-n,g-kiosk-n,1
klar-a,t2418656,1
klasse-n,g-klasse-n,1
kleidung-n,t1762340,1
klein-a,t406112,1
kochen-v,g-kochen-v,1
koffer-n,t2988940,1
kollege-n,t8688825,1
kommen-v,t6105,1
konto-n,t982046,1
kopf-n,t899814,1
kosten-v,t441617,1
krank-a,t3296960,1
kreditkarte-n,t1063,1
kriegen-v,t639554,1
kuchen-n,t7365457,1
kugelschreiber-n,t2872705,1
kulturell-a,g-kulturell-a,1
kunde-n,t446557,1
kundin-n,t8776692,1
kurs-n,t7481723,1
kurz-a,t670808,1
koennen-v,g-koennen-v,1
kueche-n,t613643,1
kuehlschrank-n,t3773431,1
kuemmern-v,t2835833,1
lachen-v,g-lachen-v,1
laden-n,t1041532,1
land-n,t871,1
lang-a,t363,1
lange-a,t362158,1
langsam-a,t345413,1
laufen-v,t714083,1
laut-a,t842350,1
leben-n,g-leben-n,1
leben-v,g-leben-v,1
lebensmittel-n,t3561107,1
ledig-a,t1521306,1
legen-v,t404126,1
lehrer-n,t3265376,1
leicht-a,t3564209,1
leider-a,t592763,1
leise-a,g-leise-a,1
lernen-v,t8670943,1
lesen-v,t631800,1
letzt-a,t344357,1
leute-n,t6645598,1
licht-n,t1500181,1
lieb-a,g-lieb-a,1
lieben-v,t483376,1
lieber-o,t362714,1
lieblingslied-n,t353717,1
lied-n,t1358815,1
liegen-v,g-liegen-v,1
links-a,t440125,1
liter-n,t10819921,1
lkw-n,t718255,1
lokal-n,t658281,1
lustig-a,t1985817,1
loesung-n,t797580,1
machen-v,g-machen-v,1
mai-n,g-mai-n,1
man-o,t389,1
mann-n,g-mann-n,1
maschine-n,t11796718,1
meer-n,t751158,1
mehr-o,t245,1
mein-o,t407701,1
meine-o,t1081,1
meist-o,t761258,1
mensch-n,g-mensch-n,1
meter-n,t603787,1
miete-n,t8636825,1
mieten-v,t1547095,1
milch-n,t1699085,1
milliarde-n,t568980,1
million-n,g-million-n,1
minute-n,g-minute-n,1
mit-p,g-mit-p,1
mitbringen-v,t13336678,1
mitkommen-v,t807739,1
mitmachen-v,g-mitmachen-v,1
mitnehmen-v,t3968963,1
mittag-n,g-mittag-n,1
mitte-n,t12520153,1
mittwoch-n,t4683524,1
moment-n,t1898528,1
montag-n,g-montag-n,1
morgen-n,g-morgen-n,1
morgen-a,g-morgen-a,1
mund-n,g-mund-n,1
mutter-n,g-mutter-n,1
maedchen-n,t1923789,1
maennlich-a,g-maennlich-a,1
maerz-n,t11837232,1
moebel-n,t788476,1
moegen-v,t349976,1
moeglich-a,t189,1
muede-a,t5710596,1
